model,training_scope,evaluation_scope,train_rows,test_rows,fit_seconds,mae,rmse,median_ae,r2,within_20_percent
HistGradientBoosting,All countries,All-country test,94436,23609,6.190746499982197,5475.060407195835,16930.524995708256,2647.42402288831,0.8980830417591849,0.8884323774831632
Ridge,All countries,All-country test,94436,23609,2.249666600022465,7926.319185191266,22721.62098688654,3463.8876591602966,0.8164373894837874,0.7981701893345758
Median baseline,All countries,All-country test,94436,23609,0.0022629000013694167,32946.58985979923,55492.16599569081,20080.0,-0.09488613551799574,0.1849294760472701
HistGradientBoosting,Germany only,Germany test,36373,9093,7.703819400048815,5403.296731523734,22112.23547551066,2524.8581689001076,0.8222526195965499,0.9013526888815573
HistGradientBoosting,All countries,Germany test,94436,9093,6.190746499982197,5548.349403884873,21510.762145110708,2602.9590004082347,0.8317908934773783,0.9019025624106456
Ridge,All countries,Germany test,94436,9093,2.249666600022465,7654.322946783592,25230.922841352247,3355.01005932354,0.7685782471357313,0.8197514571648521
Ridge,Germany only,Germany test,36373,9093,1.746786100033205,7977.896175112469,25170.632894456954,3577.7866379319894,0.7696829023606341,0.8006158583525789
Median baseline,Germany only,Germany test,36373,9093,0.0034202999668195844,32088.22456834928,54313.23002238426,21010.0,-0.07238114668105378,0.19080611459364347
Median baseline,All countries,Germany test,94436,9093,0.0022629000013694167,32212.970636753547,55168.743170683905,20230.0,-0.10643037020196133,0.2019135598812273
